1	AvGetSavedDataAddress	stdcall
2	AvSendTVEncoderOption	stdcall
3	AvSetDisplayMode	stdcall
4	AvSetSavedDataAddress	stdcall
5	DbgBreakPoint	stdcall
6	DbgBreakPointWithStatus	stdcall
7	DbgLoadImageSymbols	stdcall
8	DbgPrint	stdcall
9	HalReadSMCTrayState	stdcall
10	DbgPrompt	stdcall
11	DbgUnLoadImageSymbols	stdcall
12	ExAcquireReadWriteLockExclusive	stdcall
13	ExAcquireReadWriteLockShared	stdcall
14	ExAllocatePool	stdcall
15	ExAllocatePoolWithTag	stdcall
16	ExEventObjectType	?
17	ExFreePool	stdcall
18	ExInitializeReadWriteLock	stdcall
19	ExInterlockedAddLargeInteger	stdcall
20	ExInterlockedAddLargeStatistic	fastcall
21	ExInterlockedCompareExchange64	fastcall
22	ExMutantObjectType	?
23	ExQueryPoolBlockSize	stdcall
24	ExQueryNonVolatileSetting	stdcall
25	ExReadWriteRefurbInfo	stdcall
26	ExRaiseException	stdcall
27	ExRaiseStatus	stdcall
28	ExReleaseReadWriteLock	stdcall
29	ExSaveNonVolatileSetting	stdcall
30	ExSemaphoreObjectType	?
31	ExTimerObjectType	?
32	ExfInterlockedInsertHeadList	stdcall
33	ExfInterlockedInsertTailList	fastcall
34	ExfInterlockedRemoveHeadList	fastcall
35	FscGetCacheSize	stdcall
36	FscInvalidateIdleBlocks	stdcall
37	FscSetCacheSize	stdcall
38	HalClearSoftwareInterrupt	fastcall
39	HalDisableSystemInterrupt	stdcall
40	HalDiskCachePartitionCount	?
41	HalDiskModelNumber	?
42	HalDiskSerialNumber	?
43	HalEnableSystemInterrupt	stdcall
44	HalGetInterruptVector	stdcall
45	HalReadSMBusValue	stdcall
46	HalReadWritePCISpace	stdcall
47	HalRegisterShutdownNotification	stdcall
48	HalRequestSoftwareInterrupt	fastcall
49	HalReturnToFirmware	stdcall
50	HalWriteSMBusValue	stdcall
51	InterlockedCompareExchange	fastcall
52	InterlockedDecrement	fastcall
53	InterlockedIncrement	fastcall
54	InterlockedExchange	fastcall
55	InterlockedExchangeAdd	fastcall
56	InterlockedFlushSList	fastcall
57	InterlockedPopEntrySList	fastcall
58	InterlockedPushEntrySList	fastcall
59	IoAllocateIrp	stdcall
60	IoBuildAsynchronousFsdRequest	stdcall
61	IoBuildDeviceIoControlRequest	stdcall
62	IoBuildSynchronousFsdRequest	stdcall
63	IoCheckShareAccess	stdcall
64	IoCompletionObjectType	?
65	IoCreateDevice	stdcall
66	IoCreateFile	stdcall
67	IoCreateSymbolicLink	stdcall
68	IoDeleteDevice	stdcall
69	IoDeleteSymbolicLink	stdcall
70	IoDeviceObjectType	?
71	IoFileObjectType	?
72	IoFreeIrp	stdcall
73	IoInitializeIrp	stdcall
74	IoInvalidDeviceRequest	stdcall
75	IoQueryFileInformation	stdcall
76	IoQueryVolumeInformation	stdcall
77	IoQueueThreadIrp	stdcall
78	IoRemoveShareAccess	stdcall
79	IoSetIoCompletion	stdcall
80	IoSetShareAccess	stdcall
81	IoStartNextPacket	stdcall
82	IoStartNextPacketByKey	stdcall
83	IoStartPacket	stdcall
84	IoSynchronousDeviceIoControlRequest	stdcall
85	IoSynchronousFsdRequest	stdcall
86	IofCallDriver	fastcall
87	IofCompleteRequest	fastcall
88	KdDebuggerEnabled	?
